lag_s,CL->FGBS,CL->FGBM,CL->FGBL,CL->FGBX,CL->FBTP,CL->FOAT,FESX->FGBS,FESX->FGBM,FESX->FGBL,FESX->FGBX,FESX->FBTP,FESX->FOAT,ZN->FGBS,ZN->FGBM,ZN->FGBL,ZN->FGBX,ZN->FBTP,ZN->FOAT
-50,4.923738184284073e-07,3.387985241457595e-05,0.0002399120899136866,0.00012651152760039056,-0.00033396488520707926,-4.1759731019858244e-05,0.00015400840195941667,0.0005712077920154826,-0.00010968850687048478,0.0007406288543502881,0.0007753726282531988,-0.00025585516299300856,0.0006523533113510454,-0.0008265397939168662,0.0003853707228188058,0.0006050897623628707,0.0004506093888089966,-0.00016233740942528773
-49,-0.000557103509333032,0.0005876128996064825,0.0007041584226992825,0.00013937239924453537,-5.095383734814875e-05,-9.099088005135451e-05,-0.0004767257664899694,5.524288095134834e-06,-0.0001310612099655219,-0.0002725713663866488,-0.0005010394994029958,7.277553812646118e-05,-0.000751949654091248,0.00039517127327432585,0.0003598173910072839,-0.0003239032574030025,-0.0006250101331222842,7.866924907110714e-06
-48,1.527985624759334e-05,-0.0005371347176852795,-0.00047208462856661196,-0.00033318295725462063,0.0010646600475011415,-0.00011353399339095985,0.00033884139844485035,0.00033722620570372525,0.000117231230180474,0.00015755728759944722,-8.311453773762082e-05,0.00046941033094230814,0.0005309619340315128,3.579837825377727e-05,-0.0007829541415693643,-0.0006796839086522108,0.0003315409249621454,0.001003723850095647
-47,-0.00010948117080288257,0.00017317995566231055,0.0003001939817416948,-0.00015050542337182506,0.00037531956151226967,0.00012765116467404513,0.0005417013892186542,3.4880586316708236e-05,-0.0005611654991971892,3.7556060009834705e-05,-0.000408224622191149,0.0003924297010005756,0.0003291474737419461,0.0006801999286986544,0.00041455480211175134,0.0005368358624968189,-0.0005234109134283075,2.5553082484874948e-06
-46,0.0004663555207830683,0.0005564732264163933,-0.00018349993565497746,0.0002501311357109181,0.0002906702944040416,0.0010842329425277476,8.905456633775908e-05,-0.0003033564200567139,-3.2306246426210606e-05,-0.0002735434574895302,0.0005982786331278344,0.0005483023594206204,-0.0008960333940558583,-0.0006149367827926792,-6.673111756571558e-05,-0.00023023395437404276,-0.00022393015794431543,-3.7209878181587036e-06
-45,-0.00010670123248927621,0.0003830629990310038,-0.0007020736866304632,-0.00035607556180696593,-0.0007226806072885447,-0.00045468745530116586,0.0004050332715981625,0.0008123104888120384,0.0010208378321848817,0.0009976316285946467,0.0003018919246285234,-0.00032550956956549034,5.468889618711166e-05,-0.0005456690659076429,0.00022142059332891517,-0.0006740410375853334,0.00047386462431798685,-0.00023358126327899112
-44,-0.0003371186315718495,0.0008810907459117102,0.00027180147155952066,0.0002969569867159288,-6.190887861441593e-05,-0.0002540224665898642,0.00023410666001164948,-7.724233733661236e-05,-0.00051603226573349,-0.0004738364127905174,-0.0003472034021328946,2.1989159453384743e-06,-5.335183482713502e-05,0.0010126337772845722,-1.581107471458488e-05,-3.6154233218430834e-05,-0.0007306713244418303,5.973143057985074e-05
-43,-0.00017981948166220449,8.780388219559903e-05,-0.00019252065235912219,-3.8070768329739166e-05,-0.0007354055799597228,-0.00026782806891869574,-0.0012279597892557597,4.9875166091340164e-05,-0.00016600589592943917,0.00016294382806475473,-0.0005271565343054201,-7.430632099487397e-06,-0.00023154160623118798,-0.00031099411752219384,-0.0003461667994076235,0.00011709885706028351,-0.00017673356243615534,-0.000498589367629066
-42,0.00036239743142530274,-0.0005216160592511694,0.00016135574412805246,-6.870938231580863e-05,0.0010499401560031536,0.00024568241228400674,0.0007249155070897629,6.508402846089068e-06,-0.00014438178529261583,-0.00022800028499792932,-0.00013249023266654166,-0.0005590342286088847,-3.0313104602284865e-05,-5.268378894166803e-05,-0.00023174641660694538,-0.00042153036714249613,-4.7718459088002016e-05,0.0003444574375291424
-41,0.0001254919838348981,-0.0002560379551700651,0.00042206640329676406,-0.0003836925147789194,0.00027780300179613347,-0.0002943450068928482,-0.0005927592337793501,-5.4989658761742874e-05,0.0005742808460639862,-0.000417700789417615,0.001008483160084531,0.0005022320776272403,-9.886978946976441e-05,0.00023857858757969178,0.00015663152705638862,0.0004080581357006276,0.0005766023151449357,0.0005578953979943913
-40,7.997628074196678e-05,0.0001289911080343946,-0.0008151379353307179,-0.0004796398904268824,-0.0005836602514661163,-0.00044924937078824986,5.5616754595987e-05,5.74554133346396e-05,-0.0002611340267332489,-0.00020396126380377495,-0.0006578764978918604,-0.00017213676046234954,0.00084128452173907,1.5309212899103022e-05,-0.00015317843229995822,4.06465413718791e-06,-0.0006917582351091429,-0.0009723076782171203
-39,-0.0003764457260714203,-0.0015133226514881452,0.00011338918279031624,-0.0003108316704927494,-0.0006182920517331353,0.0001679710915441301,0.0008072361437051088,0.0005372990710517791,0.0004679512278403864,0.0002726042719728208,-0.00022796413721683969,-0.000489915425357196,-0.0002985744653245995,-2.1421970569245596e-05,0.00017331907453401808,0.00029320558624396965,0.00039026561351623314,0.0002734485143603649
-38,-0.00020158033867744707,-0.00025274961805562017,-8.35700802719557e-05,1.0192569383099571e-05,0.0001604759428705236,0.00046280239970161355,0.00011037127278676058,-0.0005879611261783165,0.00013960259152513314,0.00017673685931166795,0.0006616456553733933,0.0006560307867011635,-0.000519137283427422,-0.0007682144077663654,0.00023989472623163653,-0.0003207547323029819,-5.26275977128433e-06,0.0005325866636411068
-37,0.0004612475410186227,0.00015456319421934298,0.0005119965473574798,0.0008237443365068384,0.00018566691517461634,-0.00025323532463726866,-3.140600688530834e-05,-0.00028486762790084564,0.000713805149090138,-0.00014357648441935011,3.228366569149875e-05,8.975036404084551e-05,-0.00042321581544210713,0.000412167125336864,-0.00022965885403970198,-6.77854269232833e-05,-3.421166531469844e-05,-0.0010673476381815156
-36,0.0001520628382216456,4.993950784011149e-05,-0.00046970253290054103,0.000434504816467567,-0.0002503744014415373,8.881769091005339e-05,-8.537077605350894e-05,0.000765905906938212,-0.00032784602682805965,6.950860067289967e-05,0.0005155334422658391,8.366062007214456e-05,-7.29906878739205e-06,9.310469956132184e-05,0.00018964296276353714,0.0003011317191233144,0.00045493168022470165,0.00016988871426680964
-35,3.5979850652237772e-06,-0.0011360778767674016,0.0006235165174867103,-0.0003366531463932623,-0.0004996401390147483,-1.931497556092292e-05,-8.950240202937912e-05,-0.0001903150238333891,0.0004994488982661236,8.664724251664277e-05,-0.0003349822347280196,0.00031645669311505375,7.874577777256161e-05,-0.0005637878952062698,-0.00032069295210544816,0.00021421869276466713,0.00023894341370534194,-0.00043949050265418695
-34,-0.00045762027264921603,6.978932839322198e-05,-0.0011592761689027703,-7.078880458929931e-05,-0.000196980053228259,-0.000953402657365227,-6.603514675606138e-05,-0.0004117921054545399,-0.00023951517657924004,-0.0005925169432867505,-0.0004361852485482507,0.0004440829637550214,-0.0008519239969905681,-2.9128125308116293e-05,5.124987159750026e-05,-0.00011407847523682234,-0.0007864785392935403,0.0001895477111982813
-33,-1.695749773809948e-05,-0.0006919822368688369,-0.0003747558441722562,-0.00024677265370750894,3.3690412267753306e-05,-0.0006469224015781114,-0.0006237367756507977,-0.00047114367989916755,-0.0005169071424377655,0.00035484921809108525,0.00019689456225552654,-0.00016638554698236762,-0.0008315289229953957,-7.813654861405422e-05,0.0006646281924153941,-6.895855352741771e-05,0.00010844884499402919,0.00031443479172162705
-32,0.00031405886376614995,-5.501929049038904e-06,-0.00012537039493038218,-5.2439916339250474e-05,-0.0001936185223211182,-0.0002102371333956411,-9.32418239300735e-05,-2.670252604834173e-05,-0.0007918949355955958,-0.00041530441661501833,0.0002130749048191768,-0.0002842334566195722,0.00014859514059911203,0.00017505903605281222,-0.0005028624470014838,0.00040853345985725805,-0.00041990941356967736,0.0006241548915139268
-31,2.9630985553976684e-06,0.0011344859524736758,0.0011296619683011657,-0.0002147691524688305,0.0007790151809471428,0.0002738579892523434,-7.298690006907133e-05,-0.000409184097250254,-5.547932042623049e-06,0.00032812785781024335,-0.0004413489527473623,-0.0002623624637439461,0.000148039958599347,7.915024685745342e-05,1.611396526774922e-05,-0.0002646399754785138,0.0005515297811720596,0.00010681000994025313
-30,1.950321529898016e-05,-0.00020974151442448665,-0.0005122063283272885,-0.00023933180935924858,0.00010066286100876057,-4.2655557649021406e-05,0.0004049131470424969,0.00025418153955826273,0.00015817494589743543,-1.9025617136514202e-05,0.00021598690368905616,0.0009654797142661296,0.00012673412419308847,0.0003257951422341028,0.0005884169925911517,0.0006558701419251767,0.00020196769803648845,0.0003406997633248103
-29,-0.0008219673503352525,0.00027726811302833875,-0.00039316233773391274,1.2809628123002674e-05,-0.00043149779255636714,0.0006440172838069314,-0.0003525745651906603,-0.0012425194180232856,-0.0003765425588020914,-0.0005891450932027714,0.00011303578831947784,-0.00024426212176212564,0.000622857851556661,0.00034368083576490223,-0.0005815707995801244,0.0002911859797615367,9.977272923245961e-05,-0.0005993288887444037
